Wn,Wp,Vout,Vin
1,1.1,0.8994985,0.7520000000000006
1,2.05,0.9007918,0.8330000000000006
1,2.25,0.9007324,0.8460000000000006
1,2.45,0.9008985,0.8580000000000007
1,2.8,0.90071,0.8770000000000007
1,2.9,0.9009469,0.8820000000000007
1,3.55,0.8992143,0.9110000000000007
1,3.6,0.8991297,0.9130000000000007
1,4.45,0.9000272,0.9430000000000007
1,4.85,0.900728,0.9550000000000007
1.05,1,0.8990185,0.7360000000000005
1.05,1.1,0.9002813,0.7470000000000006
1.05,1.35,0.9000198,0.7720000000000006
1.05,2.5,0.9004002,0.8550000000000006
1.05,3.5,0.8995559,0.9030000000000007
1.05,3.55,0.900122,0.9050000000000007
1.05,3.6,0.9000826,0.9070000000000007
1.05,3.65,0.899447,0.9090000000000007
1.05,4,0.9004726,0.9220000000000007
1.1,1.35,0.8999754,0.7670000000000006
1.1,1.45,0.8996589,0.7760000000000006
1.1,1.95,0.8996637,0.8150000000000006
1.1,3.35,0.8998634,0.8910000000000007
1.1,3.8,0.900106,0.9090000000000007
1.1,4.5,0.9007537,0.9330000000000007
1.1,4.9,0.9004568,0.9450000000000007
1.15,1.15,0.8998752,0.7430000000000005
1.15,1.2,0.9000694,0.7480000000000006
1.15,2.5,0.8999008,0.8440000000000006
1.15,2.8,0.8992743,0.8600000000000007
1.15,3.2,0.8990589,0.8790000000000007
1.15,3.95,0.9006763,0.9090000000000007
1.15,4.45,0.8998361,0.9260000000000007
1.15,4.95,0.9006281,0.9410000000000007
1.2,2.15,0.9002292,0.8180000000000006
1.2,2.45,0.9001792,0.8360000000000006
1.2,2.65,0.8995528,0.8470000000000006
1.2,4.65,0.8991187,0.9270000000000007
1.2,4.75,0.8993901,0.9300000000000007
1.25,1,0.9001638,0.7190000000000005
1.25,2.1,0.8996438,0.8100000000000006
1.25,2.65,0.8995316,0.8420000000000006
1.25,3.3,0.8993201,0.8730000000000007
1.25,3.85,0.8992535,0.8950000000000007
1.25,4.4,0.9004078,0.9140000000000007
1.3,1.5,0.8998605,0.7620000000000006
1.3,1.55,0.900979,0.7660000000000006
1.3,1.6,0.900335,0.7700000000000006
1.3,1.8,0.9006684,0.7850000000000006
1.3,3.85,0.9006472,0.8900000000000007
1.3,4.1,0.9003463,0.8990000000000007
1.3,4.65,0.8992333,0.9170000000000007
1.3,4.75,0.8997627,0.9200000000000007
1.35,2.15,0.9007625,0.8040000000000006
1.35,2.35,0.9007306,0.8160000000000006
1.35,3.2,0.8993717,0.8590000000000007
1.35,4.15,0.8995607,0.8960000000000007
1.4,1.2,0.8996375,0.7280000000000005
1.4,1.5,0.8995215,0.7540000000000006
1.4,1.55,0.8991807,0.7580000000000006
1.4,1.75,0.9007109,0.7730000000000006
1.4,2.95,0.8996446,0.8430000000000006
1.4,3.4,0.8996448,0.8630000000000007
1.4,3.7,0.8999115,0.8750000000000007
1.45,1,0.8991179,0.7050000000000005
1.45,1.05,0.9008424,0.7100000000000005
1.45,1.1,0.89974,0.7150000000000005
1.45,1.25,0.9006373,0.7290000000000005
1.45,1.4,0.9007779,0.7420000000000005
1.45,1.6,0.9002067,0.7580000000000006
