Wn	Wp	Vout	Vin
1	1.1	8.994985e-01	7.520000e-01
1	2.05	9.007918e-01	8.330000e-01
1	2.25	9.007324e-01	8.460000e-01
1	2.45	9.008985e-01	8.580000e-01
1	2.8	9.007100e-01	8.770000e-01
1	2.9	9.009469e-01	8.820000e-01
1	3.55	8.992143e-01	9.110000e-01
1	3.6	8.991297e-01	9.130000e-01
1	4.45	9.000272e-01	9.430000e-01
1	4.85	9.007280e-01	9.550000e-01
1.05	1	8.990185e-01	7.360000e-01
1.05	1.1	9.002813e-01	7.470000e-01
1.05	1.35	9.000198e-01	7.720000e-01
1.05	2.5	9.004002e-01	8.550000e-01
1.05	3.5	8.995559e-01	9.030000e-01
1.05	3.55	9.001220e-01	9.050000e-01
1.05	3.6	9.000826e-01	9.070000e-01
1.05	3.65	8.994470e-01	9.090000e-01
1.05	4	9.004726e-01	9.220000e-01
1.1	1.35	8.999754e-01	7.670000e-01
1.1	1.45	8.996589e-01	7.760000e-01
1.1	1.95	8.996637e-01	8.150000e-01
1.1	3.35	8.998634e-01	8.910000e-01
1.1	3.8	9.001060e-01	9.090000e-01
1.1	4.5	9.007537e-01	9.330000e-01
1.1	4.9	9.004568e-01	9.450000e-01
1.15	1.15	8.998752e-01	7.430000e-01
1.15	1.2	9.000694e-01	7.480000e-01
1.15	2.5	8.999008e-01	8.440000e-01
1.15	2.8	8.992743e-01	8.600000e-01
1.15	3.2	8.990589e-01	8.790000e-01
1.15	3.95	9.006763e-01	9.090000e-01
1.15	4.45	8.998361e-01	9.260000e-01
1.15	4.95	9.006281e-01	9.410000e-01
1.2	2.15	9.002292e-01	8.180000e-01
1.2	2.45	9.001792e-01	8.360000e-01
1.2	2.65	8.995528e-01	8.470000e-01
1.2	4.65	8.991187e-01	9.270000e-01
1.2	4.75	8.993901e-01	9.300000e-01
1.25	1	9.001638e-01	7.190000e-01
1.25	2.1	8.996438e-01	8.100000e-01
1.25	2.65	8.995316e-01	8.420000e-01
1.25	3.3	8.993201e-01	8.730000e-01
1.25	3.85	8.992535e-01	8.950000e-01
1.25	4.4	9.004078e-01	9.140000e-01
1.3	1.5	8.998605e-01	7.620000e-01
1.3	1.55	9.009790e-01	7.660000e-01
1.3	1.6	9.003350e-01	7.700000e-01
1.3	1.8	9.006684e-01	7.850000e-01
1.3	3.85	9.006472e-01	8.900000e-01
1.3	4.1	9.003463e-01	8.990000e-01
1.3	4.65	8.992333e-01	9.170000e-01
1.3	4.75	8.997627e-01	9.200000e-01
1.35	2.15	9.007625e-01	8.040000e-01
1.35	2.35	9.007306e-01	8.160000e-01
1.35	3.2	8.993717e-01	8.590000e-01
1.35	4.15	8.995607e-01	8.960000e-01
1.4	1.2	8.996375e-01	7.280000e-01
1.4	1.5	8.995215e-01	7.540000e-01
1.4	1.55	8.991807e-01	7.580000e-01
1.4	1.75	9.007109e-01	7.730000e-01
1.4	2.95	8.996446e-01	8.430000e-01
1.4	3.4	8.996448e-01	8.630000e-01
1.4	3.7	8.999115e-01	8.750000e-01
1.45	1	8.991179e-01	7.050000e-01
1.45	1.05	9.008424e-01	7.100000e-01
1.45	1.1	8.997400e-01	7.150000e-01
1.45	1.25	9.006373e-01	7.290000e-01
1.45	1.4	9.007779e-01	7.420000e-01
1.45	1.6	9.002067e-01	7.580000e-01
1.45	3	8.992641e-01	8.410000e-01
1.45	3.2	9.001479e-01	8.500000e-01
1.45	3.9	9.007577e-01	8.780000e-01
1.45	4.3	8.992591e-01	8.920000e-01
1.45	4.55	9.006314e-01	9.000000e-01
1.45	4.95	9.009004e-01	9.120000e-01
1.5	1.3	9.003255e-01	7.300000e-01
1.5	1.95	8.993721e-01	7.790000e-01
1.5	2.45	8.996735e-01	8.090000e-01
1.5	2.6	9.006235e-01	8.170000e-01
1.5	2.9	9.006353e-01	8.320000e-01
1.5	3.05	9.007860e-01	8.390000e-01
1.5	3.8	9.004762e-01	8.700000e-01
1.5	4.25	8.992398e-01	8.860000e-01
1.55	1.55	8.995138e-01	7.470000e-01
1.55	2.45	9.006209e-01	8.050000e-01
1.55	2.6	9.007244e-01	8.130000e-01
1.55	2.9	8.993532e-01	8.280000e-01
1.55	3.35	9.009779e-01	8.480000e-01
1.55	3.75	8.992975e-01	8.640000e-01
1.6	1.65	9.003752e-01	7.510000e-01
1.6	1.85	9.000379e-01	7.650000e-01
1.6	2.1	9.006014e-01	7.810000e-01
1.6	2.2	9.009018e-01	7.870000e-01
1.6	2.25	8.995515e-01	7.900000e-01
1.6	2.9	9.006740e-01	8.240000e-01
1.6	3.05	8.997043e-01	8.310000e-01
1.6	3.35	9.008268e-01	8.440000e-01
1.6	3.7	9.003714e-01	8.580000e-01
1.6	4.2	8.999968e-01	8.760000e-01
1.6	4.35	8.999485e-01	8.810000e-01
1.6	4.6	8.992778e-01	8.890000e-01
1.6	4.7	9.006881e-01	8.920000e-01
1.6	4.8	9.007670e-01	8.950000e-01
1.6	4.9	8.995464e-01	8.980000e-01
1.65	1	9.009143e-01	6.930000e-01
1.65	1.6	9.007950e-01	7.440000e-01
1.65	2.35	9.006251e-01	7.920000e-01
1.65	2.65	9.000043e-01	8.080000e-01
1.65	2.75	9.000115e-01	8.130000e-01
1.65	3.75	8.997586e-01	8.560000e-01
1.65	4.2	9.008681e-01	8.720000e-01
1.65	4.35	9.007046e-01	8.770000e-01
1.65	4.6	8.999149e-01	8.850000e-01
1.65	4.9	9.001387e-01	8.940000e-01
1.7	1.7	9.002805e-01	7.480000e-01
1.7	2.05	8.996260e-01	7.710000e-01
1.7	2.1	9.005148e-01	7.740000e-01
1.7	2.15	9.003807e-01	7.770000e-01
1.7	2.2	8.992561e-01	7.800000e-01
1.7	2.45	8.991367e-01	7.940000e-01
1.7	3.2	9.008260e-01	8.300000e-01
1.7	3.8	9.008143e-01	8.540000e-01
1.7	4.05	9.008528e-01	8.630000e-01
1.7	4.5	9.001349e-01	8.780000e-01
1.7	5	9.005102e-01	8.930000e-01
1.75	1.85	9.002964e-01	7.550000e-01
1.75	2.9	8.993444e-01	8.130000e-01
1.75	3.9	8.997768e-01	8.540000e-01
1.75	4.1	9.009982e-01	8.610000e-01
1.75	4.75	8.990132e-01	8.820000e-01
1.8	1.15	9.004189e-01	6.990000e-01
1.8	2.3	8.998678e-01	7.790000e-01
1.8	3.25	9.002864e-01	8.250000e-01
1.8	3.7	8.999349e-01	8.430000e-01
1.8	4.45	9.003916e-01	8.690000e-01
1.85	1.1	9.004143e-01	6.920000e-01
1.85	1.25	8.999338e-01	7.050000e-01
1.85	2.25	9.001245e-01	7.730000e-01
1.85	2.75	9.009176e-01	7.990000e-01
1.85	4.25	8.992125e-01	8.590000e-01
1.85	5	9.006316e-01	8.820000e-01
1.9	1.15	8.995535e-01	6.940000e-01
1.9	1.85	8.996109e-01	7.460000e-01
1.9	3.15	8.999855e-01	8.140000e-01
1.9	3.75	8.994709e-01	8.380000e-01
1.9	4	8.997968e-01	8.470000e-01
1.9	4.45	9.001843e-01	8.620000e-01
1.95	1.25	8.993232e-01	7.000000e-01
1.95	1.3	9.001848e-01	7.040000e-01
1.95	1.35	8.991781e-01	7.080000e-01
1.95	2.8	9.009557e-01	7.950000e-01
1.95	2.95	8.994369e-01	8.020000e-01
1.95	3.25	9.001424e-01	8.150000e-01
1.95	3.6	9.002398e-01	8.290000e-01
1.95	4.4	9.008761e-01	8.570000e-01
2	1.75	8.994261e-01	7.340000e-01
2	2.25	9.006395e-01	7.640000e-01
2	2.8	8.997465e-01	7.920000e-01
2	3.35	8.992746e-01	8.160000e-01
2	3.4	8.996016e-01	8.180000e-01
2	3.45	8.994466e-01	8.200000e-01
2	4.6	9.006457e-01	8.600000e-01
2	4.9	8.995746e-01	8.690000e-01
2.05	1.15	8.999739e-01	6.870000e-01
2.05	2.8	9.001815e-01	7.890000e-01
2.05	4.05	8.992434e-01	8.390000e-01
2.05	4.2	9.007546e-01	8.440000e-01
2.05	4.35	8.990956e-01	8.490000e-01
2.1	1.2	8.990289e-01	6.890000e-01
2.1	1.25	8.998069e-01	6.930000e-01
2.1	1.8	9.005125e-01	7.320000e-01
2.1	2.45	9.009126e-01	7.690000e-01
2.1	2.65	9.001232e-01	7.790000e-01
2.1	4.45	9.004367e-01	8.490000e-01
2.1	4.95	9.007413e-01	8.640000e-01
2.15	1.55	9.002399e-01	7.130000e-01
2.15	2.75	8.993952e-01	7.810000e-01
2.15	4.45	8.994021e-01	8.460000e-01
2.15	4.95	8.991191e-01	8.610000e-01
2.2	1.75	8.992841e-01	7.240000e-01
2.2	2.1	8.990366e-01	7.450000e-01
2.2	3.2	8.997703e-01	7.980000e-01
2.2	3.25	9.009093e-01	8.000000e-01
2.2	3.45	9.006808e-01	8.080000e-01
2.2	3.5	8.994739e-01	8.100000e-01
2.2	4.45	8.998033e-01	8.430000e-01
2.25	1.5	9.005766e-01	7.050000e-01
2.25	2.2	9.000589e-01	7.480000e-01
2.25	2.35	8.993987e-01	7.560000e-01
2.25	2.55	9.009668e-01	7.660000e-01
2.25	3.6	8.992407e-01	8.110000e-01
2.25	4.05	9.005667e-01	8.270000e-01
2.25	4.2	9.009625e-01	8.320000e-01
2.25	4.95	9.000969e-01	8.550000e-01
2.3	1	9.000830e-01	6.640000e-01
2.3	1.65	8.992973e-01	7.130000e-01
2.3	2.4	9.008404e-01	7.560000e-01
2.3	2.75	8.995383e-01	7.730000e-01
2.3	2.95	8.990427e-01	7.820000e-01
2.35	1.7	9.002692e-01	7.140000e-01
2.35	2.55	9.004866e-01	7.610000e-01
2.35	2.85	8.993927e-01	7.750000e-01
2.35	3.3	8.991320e-01	7.940000e-01
2.35	3.75	9.002455e-01	8.110000e-01
2.35	4.5	9.001032e-01	8.360000e-01
2.35	4.8	9.000497e-01	8.450000e-01
2.4	1.75	9.003216e-01	7.150000e-01
2.4	1.95	8.998003e-01	7.270000e-01
2.4	2.6	8.999512e-01	7.610000e-01
2.4	2.75	8.995553e-01	7.680000e-01
2.4	3	9.002615e-01	7.790000e-01
2.4	3.55	9.005506e-01	8.010000e-01
2.4	4.3	9.000821e-01	8.270000e-01
2.4	5	8.994005e-01	8.480000e-01
2.45	1.05	8.998362e-01	6.630000e-01
